COMP_CODE,COMP_CONM,COMP_NAME,DISC,EXCS
ABTR,ABB,TRANSDUCER,0.00,0.00
AEAM,AE,AMMETER,22.50,0.00
AEFM,AE,FREQUENCY METER,22.50,0.00
AEPF,AE,POWER FACTOR METER,22.50,0.00
AEPI,AE,PHASE INDICATOR,22.50,0.00
AESH,AE,SHUNT,22.50,0.00
AESY,AE,SYNCHRONOSCOPE,22.50,0.00
AETR,AE,TRANSDUCER,22.50,0.00
AEVA,AE,VA METER,22.50,0.00
AEVM,AE,VOLTMETER,22.50,0.00
AEVR,AE,VAR METER,22.50,0.00
AEWM,AE,WATTMETER,22.50,0.00
APAN,APLAB,ANNUNCIATOR,0.00,0.00
ASCA,ELCOP,CAPACITOR,0.00,12.50
AVCR,AVOMEC,APFCR,12.50,0.00
BCIL,BCH,INDICATING LAMP,10.00,12.50
BCPB,BCH,PUSH BUTTON,10.00,12.50
BCPS,BCH,PLUG&SOCKET,10.00,12.50
BCTA,BCH,TIMER (AC),10.00,12.50
BCTD,BCH,TIMER (DC),10.00,12.50
BHCA,BHEL,CAPACITOR,0.00,0.00
BHWH,BHEL,KWH METER,0.00,0.00
BIIL,BINAY ELECTRONICS,INDICATING LAMP LED TYPE,25.00,0.00
CGCA,CROMPTON GREAVES,CAPACITOR,0.00,0.00
CGDM,CROMPTON GREAVES,DC MCCB,17.50,12.50
CGMB,CROMPTON GREAVES,MCCB,55.00,12.50
CGMX,CROMPTON GREAVES,MCCB(ACCESSORIES),17.50,12.50
CGPS,CROMPTON GREAVES,PLUG & SOCKET,17.50,12.50
CMGL,COMET,GLAND,0.00,0.00
COTS,CONCORD,TEST/SERVICE LIMIT SWITCH,10.00,0.00
CSAC,C&S,ACB,55.00,12.50
CSAU,C&S,AUXILIARY SWITCH,55.00,12.50
CSAX,C&S,ACB ACCESSORIES,55.00,12.50
CSCF,CONTROLS & SWITCHGEAR,CONTROL FUSE,55.00,12.50
CSCK,CS-TERASAKI,CASTLE KEY,55.00,12.50
CSCT,CONTROLS & SWITCHGEAR CO.,CONTROL TERMINAL,0.00,0.00
CSFB,CONTROLS & SWITCHGEAR,FUSE BASE,55.00,12.50
CSFL,CONTROLS & SWITCHGEAR,FUSE LINK,55.00,12.50
CSIL,CONTROLS & SWITCHGEAR CO.,INDICATING LAMP,40.00,0.00
RSNL,CONTROLS & SWITCHGEAR CO.,NEUTRAL LINK,0.00,0.00
CSPB,CONTROLS & SWITCHGEAR CO.,PUSH BUTTON,40.00,12.50
CSRP,CONTROLS & SWITCHGEAR CO.,RESET PUSH BUTTON,40.00,12.50
CSSF,C&S,SWITCH FUSE,55.00,12.50
CSSL,CONTROLS AND SWITCHGEAR CO. LTD.,NEUTRAL LINKS FOR SWITCHES,55.00,12.50
CSSW,C&S,SWITCH (CSSD),55.00,12.50
CSTH,CSC,THERMOSTAT +SPACE HEATER,0.00,0.00
CSTS,C&S,TEST/SERVICE LT.SWITCH,25.00,12.50
DPTS,DIGITAL PROMOTER,TEMPERATURE SCANNER,0.00,0.00
DWLU,DOWELLS,LUGS,0.00,0.00
EEAC,GE,ACB,22.50,12.50
EEBC,ALSTOM,BREAKER CONTROL SWITCH,15.00,0.00
EECF,GE,CONTROL FUSE,22.50,12.50
EEEF,GE,E/F RELEASE,22.50,12.50
EEEL,GE,ELCB,55.00,12.50
EEFB,GE,FUSE BASE,22.50,12.50
EEFL,EE,FUSE LINK,12.50,12.50
EELR,ALSTOM,ELR WITH CBCT,15.00,0.00
EEMB,GE,MCCB,55.00,12.50
EEMX,GE,MCCB(ACCESSORIES),22.50,12.50
EERD,ALSTOM,RELAY (D/O),15.00,0.00
EERN,ALSTOM,RELAY (FIXED),15.00,0.00
GEMD,GEC,KWH + MD1,15.00,0.00
GEWH,GEC,KWH METER,15.00,0.00
GMCM,G & M,CT FOR METERING,0.00,0.00
GMCP,G & M,CT FOR PROTECTION,0.00,0.00
GMPT,G & M,POTENTIAL T/F,0.00,0.00
GSM2,C&S(GOLD STAR),DP MCCB,55.00,12.50
GSM3,C&S(GOLD STAR),TP MCCB,55.00,12.50
GSM4,C&S(GOLD STAR),4P MCCB,55.00,12.50
IMTM,IMP,TRI VECTOR METER,20.00,0.00
INCM,INDCOIL,CT FOR METERING,0.00,0.00
INCP,INDCOIL,CT FOR PROTECTION,0.00,0.00
INTF,INDCOIL,CONTROL T/F,0.00,0.00
KAPT,KAPPA,POTENTIAL T/F,0.00,0.00
KCAS,KAYCEE,AMMETER SELECTOR SWITCH,25.00,0.00
KCSA,KAYCEE,SELECTOR SWITCH (AC),25.00,0.00
KCSD,KAYCEE,SELECTOR SWITCH (DC),25.00,0.00
KCSX,KAYCEE,SELECTOR SWITCH (ACCESSORIES),25.00,0.00
KCTO,KAYCEE,TOGGLE SWITCH,25.00,0.00
KCTT,KAYCEE,TIME TOTALISER,25.00,0.00
KCVS,KAYCEE,VOLTMETER SELECTOR SWITCH,25.00,0.00
KJCA,KHATAU JHANKAR,CAPACITOR,0.00,0.00
LSTF,LOGICSTAT,CONTROL T/F,0.00,0.00
LTSP,L&T,SPPR,10.00,12.50
LTTI,L&T,TIMER,10.00,12.50
LTTM,L&T,THERMISTOR MOTOR PROTECTION RELAY,10.00,12.50
MDMC,MDS,MCB,55.00,12.50
MISP,MINILEC,SPPR,10.00,12.50
PCCA,POWERCAP,CAPACITOR,0.00,0.00
PRAN,PROCON,ANNUNCIATOR,0.00,0.00
RCIL,RAAS CONTROLS,INDICATING LAMP,40.00,12.50
RCPB,RAAS CONTROLS,PUSH BUTTON,40.00,12.50
RCRP,RAAS CONTROLS,RESET PUSH BUTTON,40.00,12.50
REHO,REPUTED,HOOTER,0.00,0.00
RSPR,RUDRASHAKTI,APFC RELAY,0.00,0.00
SDFR,SYSTEM DEVICES,FLASHER RELAY,4.00,0.00
CSCE,C&S,CT PS CLASS,0.00,0.00
CSCM,C&S,CT FOR METERING,0.00,0.00
CSCP,C&S,CT FOR PROTECTION,0.00,0.00
SIFD,SIEMENS,FUSE MONITORING DEVICE,15.00,12.50
SIIL,SIEMENS,INDICATING LAMP,15.00,12.50
SIOL,SIEMENS,O/L RELAY,15.00,12.50
SIPB,SIEMENS,PUSH BUTTON,15.00,12.50
SISW,SIEMENS,ISOLATOR,15.00,12.50
SITI,SIEMENS,TIMER (ELECTRONIC),15.00,12.50
SYCR,SYNTRON,APFCR,15.00,0.00
TCAA,TELEMECANIQUE & CONTROLS,AUX.CONTACTOR AC COIL,55.00,12.50
TCAD,TELEMECANIQUE & CONTROLS,AUX.CONTACTOR DC COIL,55.00,12.50
TCMI,TELEMECANIQUE & CONTROLS,MECHANICAL INTERLOCK,55.00,12.50
TCOL,TELEMECANIQUE & CONTROLS,OVER LOAD RELAYS,55.00,12.50
TCPA,TELEMECANIQUE & CONTROLS,POWER CONTACTOR A.C.,55.00,12.50
TCPD,TELEMECANIQUE & CONTROLS,POWER CONTACTOR D.C.,55.00,12.50
TMMB,TELEMECANIQUE-MERLIN-GERLIN,MCCB,12.50,12.50
USDI,USHA RECTIFIER,DIODE,0.00,0.00
ENWH,ENERCON,DIGITAL KWH METER,12.50,12.50
ENP3,ENERCON,POWER METER 3PH3W,12.50,12.50
ENP4,ENERCON,POWER METER 3PH 4W,12.50,12.50
ENAM,ENERCON,AMMETER,12.50,12.50
ENVM,ENERCON,VOLTMETER,12.50,12.50
ENRS,ENERCON,RS 485 PORT,12.50,12.50
MDIS,MDS,ISOLATOR,27.50,12.50
GSMX,C&S(GOLD STAR),MCCB(ACCESSORIES),55.00,12.50
ELCA,ELCOP,CAPACITOR,0.00,12.50
KCBC,KAYCEE,BREAKER CONTROL SWITCH,25.00,0.00
EEM3,GE,MCCB-TP,22.50,12.50
EEM4,GE,MCCB-4P,22.50,12.50
