GLAND_TYPE,NO_CORES,LUG_CODE,GLAND_CODE
S,2.00,1.50,1619
S,3.00,1.50,1619
S,4.00,1.50,1619
S,5.00,1.50,1619
S,6.00,1.50,1619
S,7.00,1.50,1619
S,10.00,1.50,2125
S,12.00,1.50,2125
S,14.00,1.50,2125
S,16.00,1.50,2125
S,19.00,1.50,2125
S,24.00,1.50,2932
S,27.00,1.50,2932
S,30.00,1.50,2938
S,37.00,1.50,2938
S,44.00,1.50,2938
S,52.00,1.50,2938
S,61.00,1.50,3638
S,2.00,2.50,1619
S,3.00,2.50,1619
S,4.00,2.50,1619
S,5.00,2.50,1619
S,6.00,2.50,1619
S,7.00,2.50,2125
S,10.00,2.50,2125
S,12.00,2.50,2125
S,14.00,2.50,2125
S,16.00,2.50,2932
S,19.00,2.50,2938
S,24.00,2.50,2938
S,27.00,2.50,2938
S,30.00,2.50,2938
S,37.00,2.50,3638
S,44.00,2.50,3638
S,52.00,2.50,4251
S,61.00,2.50,4251
D,2.00,1.50,0001
D,3.00,1.50,0001
D,4.00,1.50,0001
D,5.00,1.50,0001
D,6.00,1.50,0001
D,7.00,1.50,0001
D,10.00,1.50,0003
D,12.00,1.50,0003
D,14.00,1.50,0003
D,16.00,1.50,0003
D,19.00,1.50,0003
D,24.00,1.50,0004
D,27.00,1.50,0005
D,30.00,1.50,0005
D,37.00,1.50,0005
D,44.00,1.50,0006
D,52.00,1.50,0007
D,61.00,1.50,0007
D,2.00,2.50,0001
D,3.00,2.50,0001
D,4.00,2.50,0001
D,5.00,2.50,0002
D,6.00,2.50,0002
D,7.00,2.50,0002
D,10.00,2.50,0003
D,12.00,2.50,0003
D,14.00,2.50,0004
D,16.00,2.50,0004
D,19.00,2.50,0004
D,24.00,2.50,0005
D,27.00,2.50,0005
D,30.00,2.50,0006
D,37.00,2.50,0007
D,44.00,2.50,0008
D,52.00,2.50,0008
D,61.00,2.50,0009
