FCH_MCODE,CLASS,DESRIP
A,31,TP EO WIT REL
A,32,TP EO W/O REL
A,33,TP MO WIT REL
A,34,TP MO W/O REL
A,41,4P EO WIT REL
A,42,4P EO W/O REL
A,43,4P MO WIT REL
A,44,4P MO W/O REL
C,31,TP EO WIT REL
C,32,TP EO W/O REL
C,33,TP MO WIT REL
C,34,TP MO W/O REL
C,41,4P EO WIT REL
C,42,4P EO W/O REL
C,43,4P MO WIT REL
C,44,4P MO W/O REL
B,31,TP EO WIT REL
B,32,TP EO W/O REL
B,33,TP MO WIT REL
B,34,TP MO W/O REL
B,41,4P EO WIT REL
B,42,4P EO W/O REL
B,43,4P MO WIT REL
B,44,4P MO W/O REL
S,01,SFU+3IL+3CF
S,02,01+A/ASS/V/VSS
S,03,02+KWH
S,04,02+PTS
F,01,SFU
U,01,SFU
U,02,SFU+A
U,03,SFU+ICT+A
U,04,SFU+A/ASS
1,01,MCCB+3IL
1,02,01+A/ASS/V/VSS
1,03,02+KWH
1,04,02+PTS
2,01,MCCB
3,01,MCCB
3,02,MCCB+A
3,03,MCCB+1CT+A
3,04,MCCB+A/ASS
I,01,SWITCH+3IL
I,02,01+A/ASS/V/VSS
I,03,02+KWH
I,04,02+PTS
O,01,SWITCH
L,01,SWITCH
L,02,SWITCH+A
L,03,SWITCH+1CT+A
L,04,SWITCH+A/ASS
D,01,DOL
D,02,DOL+1AUX+1A
D,03,DOL+1AUX+1A+1CT
D,04,DOL+1AUX+A/ASS
D,05,DOL+1AUX+1A+SPPR
D,06,04+SPPR
P,01,PT+V/VSS+6CF
T,01,T/F+SWITCH+4CF
T,02,T/F+SWITCH+2CF+MCB
Y,01,STAR-DELTA
Y,02,01+1AUX+1A
Y,03,02+1CT
Y,04,02+A/ASS
Y,05,02+SPPR
Y,06,02+A/ASS+SPPR
H,01,SFU+1CONT+2IL+2PB
H,02,01+1AUX+1A
H,03,02+1CT
H,04,02+A/ASS
R,01,RDOL
R,02,RDOL+1AUX+1A
R,03,RDOL+1AUX+1A+1CT
R,04,RDOL+1AUX+A/ASS
R,05,RDOL+1AUX+1A+SPPR
R,06,04+SPPR
A,35,TP EO WIT REL
A,36,TP EO W/O REL
A,37,TP MO WIT REL
A,38,TP MO W/O REL
A,45,4P EO WIT REL
A,46,4P EO W/O REL
A,47,4P MO WIT REL
A,48,4P MO W/O REL
C,35,TP EO WIT REL
C,36,TP EO W/O REL
C,37,TP MO WIT REL
C,38,TP MO W/O REL
C,45,4P EO WIT REL
C,46,4P EO W/O REL
C,47,4P MO WIT REL
C,48,4P MO W/O REL
B,35,TP EO WIT REL
B,36,TP EO W/O REL
B,37,TP MO WIT REL
B,38,TP MO W/O REL
B,45,4P EO WIT REL
B,46,4P EO W/O REL
B,47,4P MO WIT REL
B,48,4P MO W/O REL
